Latitude,Longitude,Distance_m,Duration_s,Speed_kmh,Energy_Consumption_kWh
40.802057,-124.1637729,96422.1592059955,3600,99.0827628114239,26.480867448872
37.9649116,-122.5145122,99082.7628114239,3600,99.0827628114239,27.3524458542405
37.9649116,-122.5145122,99082.7628114239,3600,99.0827628114239,27.3524458542405
37.9649116,-122.5145122,99082.7628114239,3600,99.0827628114239,27.3524458542405
37.9649116,-122.5145122,100832.173298361,3600,105.327075812274,28.2494663774788
37.7417513,-121.573913,108611.008113853,3600,107.931649650725,31.9089744374228
34.0359057,-118.2208282,107931.649650725,3600,107.931649650725,31.563751335811
34.0359057,-118.2208282,107931.649650725,3600,107.931649650725,31.563751335811
34.0359057,-118.2208282,107931.649650725,3600,107.931649650725,31.563751335811
34.0359057,-118.2208282,107931.649650725,3600,107.931649650725,31.563751335811
34.0359057,-118.2208282,96880.2529647726,3600,110.944186046512,26.5511506117116
32.9075858,-117.2262558,98038.519379845,3385,104265.485898801,28.817788365825
